"","Artist","Album_Name","Track_Title","Track_Id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Y"
"113","Shinhwa","Shinhwa 2005 Japan Tour Live","Ment","1chLn0u1GXShyFW732Scou",0.377,0.501,0,-10.219,1,0.178,0.855,6.62e-06,0.489,0.289,82.577,187587,4,0
"114","Shinhwa","Shinhwa 2005 Japan Tour Live","As Long As You Love Me","6I5rZ1y2HnSxsExPIYPgos",0.603,0.809,0,-5.019,1,0.0293,0.387,0,0.697,0.43,102.898,209653,4,2
"115","Shinhwa","Shinhwa 2005 Japan Tour Live","I Pray 4 U","46oDprzbwP5WXttXvHjTVd",0.45,0.934,1,-3.343,1,0.0928,0.377,0,0.598,0.411,147.06,238107,4,1
"116","Shinhwa","Shinhwa 2005 Japan Tour Live","Yo!","64bXsFFVaC5suSEJaj9fQX",0.484,0.96,6,-2.703,1,0.0803,0.171,0,0.39,0.336,102.461,208400,4,1
"117","Shinhwa","Summer Story 2005","Intro","5IoW1qUMer9OeeOIHlyBpf",0.659,0.554,6,-13.818,1,0.542,0.331,0,0.418,0.507,64.191,35854,3,1
"118","Shinhwa","Summer Story 2005","Oh! - New Club-Mix Version","4AXkHKba75RjwEl4XazcrM",0.946,0.813,0,-3.381,1,0.138,0.0609,0,0.441,0.763,104.986,214610,4,2
"119","Shinhwa","Summer Story 2005","Hey, Dude!","3cdtgYqWnCaNam9wVNBjmA",0.697,0.952,1,-3.324,1,0.069,0.2,1.57e-05,0.134,0.861,98.032,218868,4,3
"120","Shinhwa","Summer Story 2005","How Do I Say? - Rock & Roll-Mix Version","2rizZAjnPdukTDVJBFCV3N",0.737,0.783,11,-4.604,1,0.0426,0.0695,0,0.128,0.774,113.986,252749,4,2
"121","Shinhwa","Summer Story 2005","Young Gunz - The Last One-Mix Version","0Zh5zo7kVUMwrCE2P9Ipk3",0.81,0.575,1,-5.239,1,0.179,0.0314,0,0.0706,0.835,98.016,184700,4,1
"122","Shinhwa","Summer Story 2005","Just Be My Love","3w5AB7lZJvwgGEoxAsLHGi",0.645,0.664,6,-5.448,1,0.0288,0.22,0,0.171,0.441,101.981,247420,4,2
"123","Shinhwa","Summer Story 2005","How Do I Say? - Final Play Version","0BuaCk8WpZ0E5bhi7oDgHt",0.63,0.808,6,-6.361,1,0.0321,0.00072,0.799,0.379,0.73,113.978,246819,4,1
"124","Shinhwa","Winter Story 2004~05","잠 못 드는 밤 비는 내리고","5Gp8LzOJwnY2h6bzTDr5Zt",0.713,0.919,7,-3.77,1,0.0618,0.0957,0,0.373,0.641,104.028,269493,4,4
"125","Shinhwa","Winter Story 2004~05","천생연분","0aX0n5pUBy5IGQTr94cqT3",0.651,0.947,7,-3.366,1,0.0509,0.000871,0.00241,0.346,0.691,131.02,223173,4,8
"126","Shinhwa","Winter Story 2004~05","세월의 흔적 다 버리고","0btv90LMmrZveSrfzrJkwO",0.65,0.759,10,-8.427,1,0.0558,0.607,0,0.0807,0.684,151.949,282107,4,8
"127","Shinhwa","Winter Story 2004~05","이층집 소녀","0krY15nAX85oWrtpTwuasj",0.694,0.433,0,-7.362,1,0.026,0.398,0,0.125,0.551,89.986,266400,4,3
"128","Shinhwa","Winter Story 2004~05","신인류의 사랑","101eIlWkiHUbk9H5mh5X8Y",0.83,0.859,7,-3.72,1,0.0594,0.0232,5.35e-06,0.0827,0.96,121.03,229107,4,3
"129","Shinhwa","Winter Story 2004~05","오늘 같은 밤이면","6fbAu9cjtBtybsq3L4FQBs",0.463,0.455,5,-8.042,0,0.0823,0.275,0,0.141,0.603,69.196,246533,4,3
"130","Shinhwa","Winter Story 2004~05","그 아픔까지 사랑한거야","6x8PAm4EK5JLdGxn7jhAEG",0.663,0.426,9,-7.666,1,0.0275,0.663,8.15e-06,0.113,0.184,132.038,240760,4,4
"131","Shinhwa","Winter Story 2004~05","붉은 노을","1STM3OnuG2aGoRJzkg86aB",0.776,0.767,1,-4.947,0,0.0478,0.32,1.28e-05,0.137,0.694,131.985,259973,4,4
"132","Shinhwa","Winter Story 2004~05","그대 눈물까지도","47sO0U9p1OaKKbydn9WX0e",0.669,0.389,8,-7.373,1,0.0436,0.522,0,0.123,0.293,77.02,232013,4,5
"133","Shinhwa","Winter Story 2004~05","안녕","3gOW5HI2SJLMrDS7vysZY3",0.859,0.705,0,-5.88,1,0.0505,0.146,0,0.301,0.882,115.055,206200,4,3
"134","Shinhwa","Winter Story 2004~05","말해줘","0cx2aQXrBppPB1RVev9Z1S",0.806,0.9,7,-2.533,1,0.092,0.145,7.54e-05,0.0665,0.866,119.992,220893,4,3
"135","Shinhwa","Winter Story 2004~05","그녀를 만나는 곳 100m전","7HRE20egE8H2Sx7weKjSe5",0.862,0.599,7,-5.594,1,0.0496,0.198,1.58e-06,0.0902,0.706,107.025,217133,4,2
"136","Shinhwa","Winter Story 2004~05","세월의 흔적 다 버리고 (With Lyn)","7EnG6k8fEQoNcHAChIQE0F",0.67,0.654,5,-9.852,1,0.074,0.567,0,0.0851,0.615,152.004,265373,4,8
